,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
13441,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4s8H0vRX6CoAeu9DsmuLwH,249444,4
13442,0.523,0.607,1,-4.754,0,0.03,0.512,0.0,0.106,0.0651,145.837,7cxyNthScWOi5E6yG90cJB,217867,4
13443,0.661,0.389,2,-6.161,0,0.0296,0.822,0.0,0.121,0.426,97.873,32R6CsTDRTqwPSJ3dbJ19G,246640,4
13444,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,4sUIYINKo2R051fiCn1HoB,197443,4
13445,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,0Iwn2n9rB2ak4ddrOXPMTt,249444,4
13446,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,07mxIlp7FqOBanzLZuiVzK,203123,4
13447,0.302,0.557,9,-5.737,0,0.0326,0.063,0.344,0.118,0.103,113.563,1rydhdFtKe2CRkiaVb7aGF,411912,4
13448,0.736,0.8,7,-5.38,0,0.0525,0.179,0.0,0.0498,0.961,140.253,3kf0WdFOalKWBkCCLJo4mA,112087,3
13449,0.546,0.787,0,-4.023,0,0.212,0.396,0.0,0.0619,0.497,100.559,12cZWGf5ZgLcKubEW9mx5q,264473,3
13450,0.704,0.225,6,-14.454,0,0.0994,0.901,0.657,0.106,0.243,120.006,4lqRh0okd0eTqBtiDKduu1,245426,4
13451,0.683,0.534,4,-10.348,1,0.189,0.519,0.247,0.148,0.284,150.469,3yO6b7dhlS1s9BA9yra2kP,180567,4
13452,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,3AiLRi2qZw2i1hfrVHLjlP,298899,3
